"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2","U:0","U:1","U:2","alpha.water","ddt0(epsilon)","ddt0(k)","ddt0(rho,U):0","ddt0(rho,U):1","ddt0(rho,U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","epsilon","k","nut","p","p_rgh","total(p)"
-0.0039948,-0.13893,0.99029,-1.1137,-1.9371,0.026273,0.0062146,-0.61871,-0.056239,0.5,7.8987e-05,1.3807e-05,0.057057,-0.37031,-0.051205,0.00011058,-0.00021996,-6.3586e-05,0.032853,0.020723,0.0011962,35.746,141.61,128.87
-0.0020873,-0.074951,0.99719,-1.1138,-1.9367,0.026312,0.0062131,-0.61822,-0.055905,0.5,7.8142e-05,1.376e-05,0.057036,-0.37172,-0.051385,0.00011057,-0.00021969,-6.3869e-05,0.032668,0.020688,0.0011967,35.653,141.86,128.62
-0.001914,-0.15007,0.98867,-1.1136,-1.9713,0.02007,0.0074614,-0.72139,-0.094994,0.5,0.00034362,5.1666e-05,0.057519,-0.32497,-0.043735,9.5638e-05,-0.00017674,-4.9695e-05,0.07587,0.027612,0.0011514,44.715,111.42,171.09
-0.0017334,-0.13004,0.99151,-1.1133,-2,0.016279,0.0080388,-0.84531,-0.10421,0.5,0.00051785,7.2905e-05,0.051766,-0.44375,-0.063132,9.1127e-05,-0.00026206,-5.6393e-05,0.11115,0.029469,0.0010179,-47.48,0,149.31
-0.0015809,-0.13443,0.99092,-1.1088,-1.9371,0.026279,0.0063441,-0.61837,-0.056366,0.5,7.8679e-05,1.701e-05,0.06066,-0.37114,-0.051721,0.00011821,-0.00022109,-6.3309e-05,0.032683,0.020925,0.0012252,35.5,141.55,128.56
-0.00090223,-0.15895,0.98729,-1.0834,-1.9715,0.020071,0.0077329,-0.71974,-0.095008,0.5,0.00029995,6.1172e-05,0.080923,-0.32986,-0.045071,0.00013968,-0.00017558,-4.3021e-05,0.077433,0.029108,0.001315,44.041,110.79,170.25
-0.0012077,-0.16674,0.986,-1.0835,-1.9384,0.026109,0.0070066,-0.61895,-0.058338,0.5,8.3655e-05,3.4623e-05,0.078732,-0.37109,-0.05363,0.00015616,-0.00022271,-6.0953e-05,0.033,0.022241,0.0013761,35.127,140.66,127.98
-0.0001425,-0.13115,0.99136,-1.0832,-2,0.016291,0.0081286,-0.84407,-0.10468,0.5,0.0004887,7.4082e-05,0.077247,-0.44849,-0.065584,0.00013649,-0.00024858,-5.112e-05,0.11779,0.031296,0.0011427,-47.564,0,148.59
-0.00034765,-0.15644,0.98769,-1.0534,-1.9716,0.020056,0.0078627,-0.71792,-0.095263,0.5,0.00021953,6.5753e-05,0.10215,-0.32047,-0.047345,0.00018173,-0.0001711,-3.8402e-05,0.07546,0.029262,0.0014149,43.7,110.36,169.55
-0.0011742,-0.16728,0.98591,-1.0535,-1.9392,0.026011,0.0074406,-0.61826,-0.059751,0.5,9.5101e-05,7.1074e-05,0.090782,-0.35577,-0.05,0.00017807,-0.00021395,-4.7226e-05,0.031415,0.022469,0.0014831,34.833,140.03,127.27
